項目名,説明,値,
MV画像パス,メインビジュアルの背景画像,./images/mv.webp,
MVアピールテキスト1,メインビジュアルの左側テキスト,【効果】×【お得な金額】で選ぶ,
MVアピールテキスト2,メインビジュアルの右側テキスト,,
MVSVGテキスト1,メインビジュアルの大きなSVGテキスト,ポテンツァおすすめ,
MVSVGテキスト2,メインビジュアルの小さなSVGテキスト,ランキングTOP{{RANK_COUNT}},
ランキングバナー画像パス,ランキングセクションのバナー画像,./images/ranking_header_banner.webp,
ランキング地域名テキスト,ランキングセクション上部の地域名に続くテキスト,で人気のポテンツァはここ！,
Tipsタブ1タイトル,Tipsセクションの1つ目のタブ,期間と効果,
Tips1内容,Tips1の説明文,ポテンツァで<deco>最新の美肌治療が実現！</deco>極細針とRF（高周波）を組み合わせた革新的技術で、<deco>ニキビ跡・毛穴・シワ・肝斑を同時に改善</deco>する次世代治療。施術中の痛みは最小限に抑えられ、ダウンタイムもわずか2〜3日程度。治療効果は施術後2〜4週間で実感でき、1ヶ月間隔で3〜4回の施術により確実に美肌効果が持続します。,
Tips1画像パス,Tips1セクションの画像,./images/Tips1.webp,
Tipsタブ2タイトル,Tipsセクションの2つ目のタブ,ダーマペンとの違い,
Tips2内容,Tips2の説明文,ポテンツァは従来のダーマペンの進化版として、<deco>RF（高周波）照射機能と美容成分導入システム</deco>を搭載。針を刺すと同時に高周波で止血するため出血が少なく、美容成分の浸透効果も格段に向上。さらに吸引機能により<deco>痛みを大幅に軽減</deco>し、より快適な施術を実現しています。,
Tips2画像パス,Tips2セクションの画像,./images/Tips2.webp,
Tipsタブ3タイトル,Tipsセクションの3つ目のタブ,選び方,
Tips3内容,Tips3の説明文,ポテンツァなどの注射治療は機器の性能が標準化されており、<deco>技術的な差が生まれにくい</deco>のが特徴。そのため、クリニック選びでは<deco>薬剤の種類の豊富さと料金の安さ</deco>を重視するのがポイントです。マックーム、エクソソーム、ボトックスなど多彩な薬剤オプションがあり、リーズナブルな価格設定のクリニックを選ぶことで、より効果的で経済的な治療が受けられます。,
Tips3画像パス,Tips3セクションの画像,./images/Tips3.webp,
比較表タイトル,比較表セクションの見出し,で人気のポテンツァ,
比較表サブタイトル,比較表のサブタイトル,クリニックを<span class=""accent-text"">徹底比較</span>,
詳細バナー画像パス,詳細セクションのバナー画像,./images/details_header_bannar3.webp,
注意事項HTML,詳細セクションの注意事項HTML,<div class="main-disclaimer"><span id="main-arrow" style="font-size: 8px; color: rgb(153, 153, 153); transition: transform 0.2s; transform: rotate(180deg);">▼</span><div id="main-content" class="main-disclaimer-content" style="display: block; padding: 5px; background-color: rgb(252, 252, 252); border-right: 1px solid rgb(240, 240, 240); border-bottom: 1px solid rgb(240, 240, 240); border-left: 1px solid rgb(240, 240, 240);"><p>「矯正開始後の通院は原則不要※1」※1 初回診断のご来院と、矯正開始前・矯正終了後の処置のご来院をお願いしています。<br>「歯並びの適応について」※記載のない歯並びでもお気軽にご相談ください。※記載の歯並びであっても、Oh my teethのマウスピース矯正の適応外と診断される場合もございます。※症状が強い場合は適応にならない場合があります。<br>「治療期間について」※治療期間は歯並びの状態や年齢などによって個人差があります。<br>「痛みについて」※痛みの感じ方には個人差があります。<br>「実績について」※2021年6月〜2023年10月の契約者（一部モニター除く）</p></div></div>,